SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,UnitASCode,OverviewCode,Section,SectionHeader,ContentType,Description,URL,Sequence
Health and Physical Education,PE,,,Years 11 and 12,"VCEEU1AS1,VCEEU1AS2,VCEEU2AS1,VCEEU2AS2",VCEPE12OVLA02,Levels of achievement,Units 1 and 2,Paragraph,"Procedures for the assessment of levels of achievement in Units 1 and 2 are a matter for school decision. Assessment of levels of achievement for these units will not be reported to the VCAA. Schools may choose to report levels of achievement using grades, descriptive statements or other indicators.",,2
Health and Physical Education,PE,,,Years 11 and 12,"VCEEU3AS1,VCEEU3AS2,VCEEU4AS1,VCEEU4AS2",VCEPE12OVLA03,Levels of achievement,Units 3 and 4,Subheader,Units 3 and 4,,3
Health and Physical Education,PE,,,Years 11 and 12,"VCEEU3AS1,VCEEU3AS2,VCEEU4AS1,VCEEU4AS2",VCEPE12OVLA04,Levels of achievement,Units 3 and 4,Paragraph,The VCAA specifies the assessment procedures for students undertaking scored assessment in Units 3 and 4. Designated assessment tasks are provided in the details for each unit in VCE study designs.,,4
Health and Physical Education,PE,,,Years 11 and 12,"VCEEU3AS1,VCEEU3AS2,VCEEU4AS1,VCEEU4AS2",VCEPE12OVLA05,Levels of achievement,,Paragraph,"The student’s level of achievement in Units 3 and 4 will be determined by School-assessed Coursework (SAC), as specified in the VCE study design, and external assessment.",,5
Health and Physical Education,PE,,,Years 11 and 12,"VCEEU3AS1,VCEEU3AS2,VCEEU4AS1,VCEEU4AS2",VCEPE12OVLA06,Levels of achievement,,Paragraph,"The VCAA will report the student’s level of achievement for each assessment component as a grade from A+ to E or UG (ungraded). To receive a study score, the student must achieve 2 or more graded assessments in the study and receive an S for both Units 3 and 4. The study score is reported on a scale of 0–50; it is a measure of how well the student performed in relation to all others who completed the study. Teachers should refer to the current VCE Administrative Handbook for details on graded assessment and calculation of the study score.",https://www.vcaa.vic.edu.au/administration/vce-vcal-handbook/Pages/index.aspx,6
Health and Physical Education,PE,,,Years 11 and 12,"VCEEU3AS1,VCEEU3AS2,VCEEU4AS1,VCEEU4AS2",VCEPE12OVLA07,Levels of achievement,,Paragraph,Percentage contributions to the study score in VCE Physical Education are as follows:,,7
Health and Physical Education,PE,,,Years 11 and 12,"VCEEU3AS1,VCEEU3AS2,VCEEU4AS1,VCEEU4AS2",VCEPE12OVLA08,Levels of achievement,,Bullet,Unit 3 School-assessed Coursework: 20 per cent,,8
Health and Physical Education,PE,,,Years 11 and 12,"VCEEU3AS1,VCEEU3AS2,VCEEU4AS1,VCEEU4AS2",VCEPE12OVLA09,Levels of achievement,,Bullet,Unit 4 School-assessed Coursework: 30 per cent,,9
Health and Physical Education,PE,,,Years 11 and 12,"VCEEU3AS1,VCEEU3AS2,VCEEU4AS1,VCEEU4AS2",VCEPE12OVLA10,Levels of achievement,,Bullet,end-of-year examination: 50 per cent.,,10
Health and Physical Education,PE,,,Years 11 and 12,"VCEEU3AS1,VCEEU3AS2,VCEEU4AS1,VCEEU4AS2",VCEPE12OVLA11,Levels of achievement,,Paragraph,Further details about the assessment program are described in the sections on Units 3 and 4 in this study design.,,11
