SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,"Investigate micronutrients: what they are, which ones are important for health growth and functioning (including calcium, iron and vitamin C), and good food sources. Suggest new, effective ways to communicate this information to teenagers.",,,,8
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,"'Food provides our bodies with the energy, protein, essential fats, vitamins and minerals to live, grow and function properly. We need a wide variety of different foods to provide the right amounts of nutrients for good health' (National Health and Medical Research Council). How does the Australian government suggest we achieve this? Investigate current advice and guidelines using Eat for Health",,,,9
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,Access the Australian Guide to Healthy Eating and describe the Australian Guide to Healthy Eating to someone who has never seen it before. Explain how it relates to the Australian Dietary Guidelines. Include an evaluation of the effectiveness of this model in the promotion of healthy eating among youth.,,,,10
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,Visit Nutrition Australia's Australian Guide to Healthy Eating and describe the Australian Guide to Healthy Eating to someone who has never seen it before. Explain how it relates to the Australian Dietary Guidelines. Include an evaluation of the effectiveness of this model in the promotion of healthy eating among youth.,,,,11
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,Visit Nutrition Australia's Healthy Eating Pyramid and access the list of Frequently Asked Questions. See how many you can accurately answer before looking at the responses provided by Nutrition Australia. Conclude this activity by providing an evaluation of the effectiveness of this model in the promotion of healthy eating among youth.,,,,12
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,Research the Health Star Rating System and prepare a review of its effectiveness by considering the following questions:,,,,13
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,Is the System easy to understand?,Research the Health Star Rating System and prepare a review of its effectiveness by considering the following questions:,,,14
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,Is the System easy to use?,Research the Health Star Rating System and prepare a review of its effectiveness by considering the following questions:,,,15
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,Does the System promote the right foods?,Research the Health Star Rating System and prepare a review of its effectiveness by considering the following questions:,,,16
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,Does the System help to improve the health of Australians?,Research the Health Star Rating System and prepare a review of its effectiveness by considering the following questions:,,,17
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,Review the media article at The Conversation that looks at the use of the health star rating system in Australia. Summarise the main arguments presented in relation to the effectiveness of this tool in promoting healthy eating.,,,,18
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,"Create a table that compares The Healthy Eating Pyramid, The Health Star Rating System and the Australian Guide to Healthy Eating. Consider the strengths and limitations of each of these food selection models. Use this information to analyse the effectiveness of each model in promoting healthy eating among youth.",,,,19
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,"Based on 2020-21 data in Australia's Health (AIHW), , for children aged 2−17 years, it is estimated that 91% do not meet the recommendations for daily fruit and vegetable consumption according to the Australian Dietary Guidelines. With this in mind, answer the following questions:",,,,20
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,What nutrients are Australia's young people likely to be deficient in?,"Based on 2020-21 data in Australia's Health (AIHW), , for children aged 2−17 years, it is estimated that 91% do not meet the recommendations for daily fruit and vegetable consumption according to the Australian Dietary Guidelines. With this in mind, answer the following questions:",,,21
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,How might this effect their short- and long-term health outcomes.,"Based on 2020-21 data in Australia's Health (AIHW), , for children aged 2−17 years, it is estimated that 91% do not meet the recommendations for daily fruit and vegetable consumption according to the Australian Dietary Guidelines. With this in mind, answer the following questions:",,,22
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,"'Children who skip breakfast generally have poorer nutrition. Their diets contain less calcium, iron, dietary fibre and vitamins such as riboflavin and niacin. Skipping breakfast becomes more common as children get older...Adults who eat a healthy breakfast are more likely to be a healthy weight and more productive at work'(Better Health Channel). With the above information in mind, write some brief but catchy advertising to encourage young people to eat breakfast.",,,,23
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,"As a class, brainstorm and make a list of all the sources of food information young people are exposed to, especially information about healthy eating. Together, create a continuum from 'Most believable and trustworthy sources' to least. Discuss various barriers to credibility and integrity, such as conflict of interest, profit motive, lack of qualifications and flawed research methods. Find and share examples of evidence-based, trustworthy nutrition information.",,,,24
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,"Research different commercial and food marketing tactics - especially those used to target children. Use articles from The Conversation and information on the Food for health alliance website. Consider sales and marketing strategies, labelling and packaging and food product design. Evaluate the validity of both of these sources of information. Complete a class presentation using Prezi or Powerpoint to demonstrate and summarise tactics.",,,,25
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,"Investigate laws pertaining to food labelling in Australia at Food Labelling. Using this information, compare products by looking at the ingredient and nutrition information panel on the packaging. Write a blog about the importance of understanding how to read nutrition information on food packaging using Edublogs.",,,,26
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,Research ultra-processed foods. Investigate the packaging and advertising used to make these products more desirable to consumers.,,,,27
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,"Investigate advocacy groups that work to monitor and regulate food advertising aimed at children, such as Food for health alliance. Outline the actions they recommend to improve the way food is made, labelled, sold and advertised to children. Evaluate the validity of the information provided on this website by examining the sources of information and explaining why they are reliable and valid.",,,,28
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KS,Activity,Bullet,"Discuss and debate the following topic: 'Research shows that children and adolescents are more vulnerable to marketing's influence than adults. In particular, food and beverage marketing has a tremendous impact on what young people eat and drink, and marketers use this knowledge to reach kids at a young age, potentially shaping their eating habits for life' (Digital Ads).",,,,29
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,"'With a growing amount of marketing dollars being pumped into digital venues such as social networks, online games, mobile phones, and virtual worlds, fast food, snack and soft drink companies are able to reach kids and teens in more ways and in more places than ever' (Digital Ads). Access this link and study the marketing techniques listed. Explain the five techniques; find examples of these techniques being used in food marketing in Australia; draw evidence-based conclusions about whether these techniques work (i.e. lead to more sales and increased consumption).",,,,30
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,"Critique the validity of the digital brochure 'Claims and evidence: food marketing to children'. The brochure looks at six claims commonly made in support of food advertisements aimed at children, and presents evidence in response to the claims.",,,,31
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,"As a class, make a list of sociocultural and commercial factors that make it difficult to have a healthy diet; then make a list of factors that make it easier to have a healthy diet.",,,,32
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,"Considering the social, cultural and commercial influences on young people, create a concept map that shows the co-existence and intersection of these three tiers of influence, with a focus on how they make decisions about what to eat. Use concept mapping software such as SmartDraw, Visio, Webspiration Classroom, Cmap, Inspiration, MindManager, Mind42, MindMeister, Mindomo, Bubbl.us or FreeMind to develop a concept map and collaborative idea maps. Include in the concept map at least two food-related messages that regularly come your way from each of the three categories of influence.",,,,33
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,"Find case studies of media celebrities who have found a voice as 'experts' or influencers in food and nutrition. As a class, compile a reference list of books, television programs, and social media accounts that promote the idea of 'celebrity as expert'. Review several of these references, evaluating the impact of the nutrition message in terms of long-term health outcomes for youth. Try to identify at least one positive case study (i.e. a credible and informed voice) among those reviewed.",,,,34
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,Investigate the work of the Coalition on Food Advertising to Children,,,,35
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,Create an infographic that details the WHO's 'Set of recommendations on the marketing of foods and non-alcoholic beverages to children'.,,,,36
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,"Collect a range of popular food and drink advertisements from print, TV and social media. Select one example and create a poster detailing the following;",,,,37
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,How does the ad make you feel when you watch it?,"Collect a range of popular food and drink advertisements from print, TV and social media. Select one example and create a poster detailing the following;",,,38
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,What techniques have been used to persuade you?,"Collect a range of popular food and drink advertisements from print, TV and social media. Select one example and create a poster detailing the following;",,,39
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,Who was the target audience of the ad?,"Collect a range of popular food and drink advertisements from print, TV and social media. Select one example and create a poster detailing the following;",,,40
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,Activity,Bullet,How does the ad act as a barrier to healthy eating?,"Collect a range of popular food and drink advertisements from print, TV and social media. Select one example and create a poster detailing the following;",,,41
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,DetailedExample,Paragraph,Oral presentation (podcast): Sucked in? Young people and food marketing,,,,42
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,DetailedExampleStep,Paragraph,"Access and explore the Digital Ads website to understand the argument put forward in the quote: 'Research shows that children and adolescents are more vulnerable to marketing's influence than adults. In particular, food and beverage marketing has a tremendous impact on what young people eat and drink, and marketers use this knowledge to reach kids at a young age, potentially shaping their eating habits for life'.",,,,43
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,DetailedExampleStep,Paragraph,"Conduct a class discussion about whether, as adolescents, students feel that:",,,,44
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,DetailedExampleStep,Bullet,"They are more 'vulnerable to marketing's influence' than older people (and, if so, how do marketers 'reach kids'?)",,,,45
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,DetailedExampleStep,Bullet,"Marketing has a 'tremendous impact' on what they eat and drink (and, if so, whether this will shape their eating habits 'for life').",,,,46
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,DetailedExampleStep,Paragraph,Divide the class into groups. Each group creates an audio podcast on the topic of 'Sucked in? Young people and food marketing'. The podcast should appeal to an adolescent audience and be suitable for broadcast on youth radio or uploaded to support a social media promotion of youth health and wellbeing.,,,,47
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,DetailedExampleStep,Paragraph,The podcast should include:,,,,48
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,DetailedExampleStep,Bullet,Background information about the vulnerability of children and adolescents to marketing's influence,,,,49
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,DetailedExampleStep,Bullet,Examples of food or beverage advertisements and or influencers that effectively reach and influence young people,,,,50
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,DetailedExampleStep,Bullet,Interviews/vox pops that explore the experiences and opinions of young people on the topic.,,,,51
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,Area of Study 3 - Health and nutrition,Outcome 3,VCEHHDU1AS3O3KK,DetailedExampleStep,Paragraph,Use Edublog to create student blogs.,,,,52
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2,,,,,UnitHeading,Unit 2 Managing health and development,,,,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2,,,,GeneralActivity,Paragraph,Area of Study 1: Development transitions,,,,2
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,,,OutcomeHeading,Outcome 1:,,,,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,,,OutcomeDescription,"On completion of this unit, the student should be able to explain developmental changes in the transition from youth to adulthood, analyse factors that contribute to healthy development during the prenatal and early childhood stages of the human lifespan and explain health and wellbeing as an intergenerational concept.",,,,2
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,,,SectionHeading,Examples of learning activities,,,,3
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"In small groups, brainstorm a list of human lifespan stages and suggest the ages at which each stage occurs. Groups present their lifespan to the class, followed by discussion about:",,,,4
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,Why there might be differences in the representation of the human lifespan and the ages for each stage,"In small groups, brainstorm a list of human lifespan stages and suggest the ages at which each stage occurs. Groups present their lifespan to the class, followed by discussion about:",,,5
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,What are the key characteristics of each stage?,"In small groups, brainstorm a list of human lifespan stages and suggest the ages at which each stage occurs. Groups present their lifespan to the class, followed by discussion about:",,,6
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Create an annotated and visually representative timeline of the different stages of the lifespan, which could be presented as a poster or using Prezi, iMovie, Comic Life, Animoto or Padlet",,,,7
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Using an assigned lifespan stage, create a poster of the age range and key characteristics of their stage. Display the posters in chronological order around the classroom.",,,,8
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,Print a variety of pictures of people representing different lifespan stages; order them from youngest to oldest. Discuss as a class the characteristics/visual clues used in ordering the pictures.,,,,9
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,Interview an adult and ask them about their opinion regarding the following statement: 'Youth is the best time of your life'. Use the findings from the interview to draw conclusions about perceptions of youth.,,,,10
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Find out about the so-called 'sandwich generation', for example at ABC News. Undertake a PMI (Plus, Minus and Interesting) of the 'sandwich generation' concept, discussing how the sandwich generation fits with your perceptions of adulthood.",,,,11
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"In groups, using a graphic organiser or template, brainstorm the following: 'Adulthood, looks like, feels like, sounds like'; 'Youth, looks like, feels like, sounds like'. Discuss answers as a group. Ask a group of adults (parents, teachers, guardians) to complete the same brainstorm and compare the answers of both respondent groups. What were the similarities and differences in the perceptions of youth and adulthood? Suggest possible reasons for any differences in the perceptions.",,,,12
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,Brainstorm 'rites of passage' that exist in Australian culture that signify the movement from the youth lifespan stage into the adulthood lifespan stage. Research other cultures' rites of passage to adulthood.,,,,13
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"In groups, research another country's legal age for:",,,,14
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,Obtaining a car license,"In groups, research another country's legal age for:",,,15
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,Consuming alcohol,"In groups, research another country's legal age for:",,,16
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,Being tried as an adult in a court of law,"In groups, research another country's legal age for:",,,17
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,Marriage,"In groups, research another country's legal age for:",,,18
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Paragraph,Explain the significance of these activities in the transition from youth to adulthood.,,,,19
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Survey students using an online polling tool, such as Poll Everywhere, to collect five words that describe 'youth' and five words that describe 'adulthood'. Present the results as a word cloud. Discuss the similarities and differences in the perceptions of youth and adulthood as lifespan stages.",,,,20
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,Discuss/prepare a presentation on stereotypical ways that youth may be viewed by society. Consider why society may see youth in this way.,,,,21
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"In response to some topical news about the behaviour of young people, write a letter to the editor of a newspaper describing the characteristics of the youth lifespan stage.",,,,22
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Develop a list of developmental characteristics (e.g. attachment to caregiver, learns to walk, can write own name). Classify the particular types of development as physical, social, emotional and intellectual.",,,,23
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Design a crossword with the clues being characteristics of development; the answers are examples of physical, social, emotional or intellectual development.",,,,24
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Create a Padlet wall, defining and explaining the characteristics of the different types of development.",,,,25
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Create a Symbaloo of the different aspects of development, making links to websites or images containing different examples of development.",,,,26
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"View part of a TV series (such as Bump or Surviving Summer), focusing on several characters. Consider: What is their stage of lifespan? What key developmental changes are currently happening in their life? Classify these developmental changes as physical, social, emotional or intellectual.",,,,27
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Develop a range of scenarios, for example:",,,,28
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,Married couple aged in mid-40s with two teenage children go out to dinner without the children,"Develop a range of scenarios, for example:",,,29
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,Female aged 50 talking with friends at mid-week tennis competition.,"Develop a range of scenarios, for example:",,,30
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Paragraph,"In pairs, document a possible conversation between these characters. Read or act out their script to the class and identify specific types of development (physical, social, emotional and intellectual) relevant to the conversation.",,,,31
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,Construct a Venn diagram to document similarities and differences in youth and adult development.,,,,32
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,"Create an infographic designed for adolescents, informing them of the changes they can expect to experience as they transition from youth to adulthood.",,,,33
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,Area of Study 1 - Developmental transitions,Outcome 1,VCEHHDU2AS1O1KK,Activity,Bullet,Brainstorm ideas about 'what a good relationship looks like' and 'what a bad relationship looks like'. Use the examples created to classify the impact of the relationships on the person's optimal health and wellbeing.,,,,34
