SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,,Area of Study 3 - Health and nutrition,,VCEHHDU1AS3O3KS,Outcome 3,Health and Human Development Students,,Key Skills,Explain the role of major nutrients in health outcomes,,1,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,,Area of Study 3 - Health and nutrition,,VCEHHDU1AS3O3KS,Outcome 3,Health and Human Development Students,,Key Skills,Describe the possible consequences of nutritional imbalance on short and long-term health outcomes for youth,,1,2
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,,Area of Study 3 - Health and nutrition,,VCEHHDU1AS3O3KS,Outcome 3,Health and Human Development Students,,Key Skills,Evaluate the effectiveness of food selection models and other initiatives in the promotion of healthy eating among youth,,1,3
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,,Area of Study 3 - Health and nutrition,,VCEHHDU1AS3O3KS,Outcome 3,Health and Human Development Students,,Key Skills,Evaluate the validity of food and nutrition information from a variety of sources,,1,4
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,,Area of Study 3 - Health and nutrition,,VCEHHDU1AS3O3KS,Outcome 3,Health and Human Development Students,,Key Skills,Analyse sociocultural factors that contribute to healthy eating among youth and their potential impact on health behaviours and health outcomes.,,1,5
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Overview of the human lifespan,,1,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Perceptions of youth and adulthood as stages of the human lifespan,,1,2
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Characteristics of development, including physical, social, emotional and intellectual",,1,3
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Developmental transitions from youth to adulthood,,1,4
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Key characteristics of healthy and respectful relationships and their impact on health and wellbeing, and on development",,1,5
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Considerations associated with becoming a parent, such as changes in responsibilities and relationships, and additional stressors",,1,6
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,The availability of social and emotional support and resources for parents,,1,7
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"The role of parents, carers and the family environment in determining the optimal development of children, by developing students’ understanding of:",,1,8
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Fertilisation and the stages of prenatal development,,1,9
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Risk and protective factors related to prenatal development, such as maternal diet and the effects of smoking and alcohol during pregnancy",,1,10
