SubjectArea,Subject,Term,Definition
Technologies,Digital Technologies,Generative AI,"An application that uses machine language to identify patterns and structure in learning. These applications can generate content such as text (including programming languages), images and other media, including video."
Technologies,Digital Technologies,Hardware,Physical components of a digital system. Hardware comprises internal components (e.g. motherboard and CPU) and external peripherals (e.g. microphone and keyboard).
Technologies,Digital Technologies,Hardware specifications,"Technical descriptions of the capabilities of hardware components (e.g. descriptions of storage memory size, in gigabytes, and speed of the central processing unit, in gigahertz)."
Technologies,Digital Technologies,Hashing,"A cryptographic process for keeping sensitive data safe. It is used to validate the authenticity of data, such as passwords. It is the preferred method of storing passwords in a database and it is more secure than encryption because it is a one-way process, whereas encrypted data can always be decrypted."
Technologies,Digital Technologies,Heading hierarchy,"A system of ordering or ranking that groups content into main headings and subheadings and helps with locating information. For example, a range of font sizes from large to small shows their relative importance."
Technologies,Digital Technologies,HTML,*See:* HyperText Markup Language
Technologies,Digital Technologies,HyperText Markup Language (HTML),"The standard markup language for content to be viewed in a web browser. It enables a webpage structure that uses elements and tags to allow inclusion of text, images and video."
Technologies,Digital Technologies,Ideating,"Generating and developing ideas as part of a process that follows a cycle from starting with a concept through to developing a design. Ideas can be expressed as text, images and drawings, and in verbal form."
Technologies,Digital Technologies,Information,"Useful knowledge created from data that has been processed, organised or presented in a specific context, which carries logical meaning."
Technologies,Digital Technologies,Information systems,"The combination of digital hardware and software components (digital systems), data, processes and people that interact to create, control and communicate information."
Technologies,Digital Technologies,Input,Data acquired from a user or digital system or sensor (e.g. a light sensor for a line-following robot) to which an algorithm or program can respond.
Technologies,Digital Technologies,Integer,"A whole number, which could be a negative number (e.g. --4). It is sometimes defined as a number that can be written without a fractional component."
Technologies,Digital Technologies,Interactive,"Involving communication between a user and a digital system, with the user able to change the behaviour, view or result by providing some input, often with the support of software. For example, a spreadsheet is an interactive tool that helps users draw conclusions and make predictions."
Technologies,Digital Technologies,Internal components,"Hardware component inside a digital system for storing data (e.g. RAM), for processing data (e.g. CPU) and for connectivity purposes (e.g. motherboard). *See also:* components"
Technologies,Digital Technologies,Internet,A globally interconnected network of digital systems communicating using standardised internet protocols such as TCP/IP.
Technologies,Digital Technologies,Internet of Things (IoT),All digital devices that are used to connect and exchange data with other digital devices over the internet. These devices include sensors and software for processing data.
Technologies,Digital Technologies,Internet Protocol (IP) address,"A protocol that involves a set of rules for communicating over the internet, whether by sending an email, streaming a video or accessing a website."
Technologies,Digital Technologies,IoT,*See:* Internet of Things
Technologies,Digital Technologies,IP address,*See:* Internet Protocol address
Technologies,Digital Technologies,Iteration (repetition),"Iteration involves the repetition of a set of steps or instructions (processes) in an algorithm or program (e.g. a loop in a flowchart or a repeat block of FOR, WHILE statements)."
Technologies,Digital Technologies,Joint Photographic Experts Group (JPEG),An image file format that uses lossy compression to reduce image file sizes and maintain image quality.
Technologies,Digital Technologies,JPEG,*See:* Joint Photographic Experts Group
Technologies,Digital Technologies,Likert scale,"A rating system that measures responses within a survey. Usually it would include a 5-point rating system to include the following scale of responses: 'strongly disagree' (1), 'disagree' (2), 'neither agree nor disagree' (3), 'agree' (4) and 'strongly agree' (5)."
Technologies,Digital Technologies,Logical operator,"An operator or function to combine Boolean (true or false) values, including AND, OR and NOT (e.g. 'the ""*x* AND *y*"" operation is only true if both *x* and *y* are true')."
Technologies,Digital Technologies,Lossless compression,Compression that reduces file sizes by removing repeated data. This data is not deleted.
Technologies,Digital Technologies,Lossy compression,A process of reducing file sizes by permanently deleting some of the original and redundant data within a file.
Technologies,Digital Technologies,Machine learning,An artificial intelligence technique that uses data and algorithms to learn over time rather than through direct programming. It enables computers to use data to identify patterns and to make decisions without human intervention.
Technologies,Digital Technologies,Malware,"An abbreviation for malicious software, malware is software used by cybercriminals to harm computer systems or networks. Malware is used to steal information, encrypt data for ransom and install software without the user's knowledge. Common types of malware include ransomware, pharming, trojans and backdoors, keyloggers, viruses and worms, web shell malware and adware."
Technologies,Digital Technologies,Man-in-the-middle attack,"A cyber security attack that allows an attacker to intercept a conversation or data transfer for malicious purposes. Attacks can involve stealing login details and personal data, and corrupting data."
Technologies,Digital Technologies,Markup,"Tags (or annotations) created by a markup language such as HTML, XML or SVG that define the separate elements within a document. Markups tell a browser how a file should be arranged and displayed, and keep a history of changes."
Technologies,Digital Technologies,Mind mapping,A drawing technique used when brainstorming ideas as part of the ideation process. It involves visually organising ideas around a central point. This can help to identify patterns and organise features when designing user interfaces.
Technologies,Digital Technologies,Mixed reality (MR),Technology that enables users to interact with a combination of physical and digital tools. Users can interact with one another in real time.
Technologies,Digital Technologies,Mock-up,A design tool that visualises a user interface to allow a preview of a final solution to share with stakeholders for feedback.
Technologies,Digital Technologies,Model,"A visual or physical representation that describes, simplifies, clarifies or explains the workings, structure or relationships within an object, system or idea."
Technologies,Digital Technologies,Modelling,The process of making a visual or physical representation of something (e.g. creating a flowchart as a visual representation of an algorithm).
Technologies,Digital Technologies,Modular program,"A program separated into individual, well-defined modules of code that perform related tasks. Each subdivided program or module performs one aspect of the required functionality of the solution."
Technologies,Digital Technologies,Moving Picture Experts Group audio layer 3 (MP3),An audio file format that uses lossy compression to reduce components of sound that cannot be heard by most humans. This can reduce large file sizes.
Technologies,Digital Technologies,Moving Picture Experts Group audio layer 4 (MP4),"A multimedia video file format that stores audio, video, images and captions. It uses lossy compression to reduce file sizes. The large amount of compression makes MP4 suitable for streaming."
Technologies,Digital Technologies,MP3,*See:* Moving Picture Experts Group audio layer 3
Technologies,Digital Technologies,MP4,*See:* Moving Picture Experts Group audio layer 4
Technologies,Digital Technologies,MR,*See:* mixed reality
Technologies,Digital Technologies,Multi-factor authentication,"A security system that typically requires 2 or more authentication factors to identify a person for access purposes (e.g. a personal identification number, a swipe card and a biometric)."
Technologies,Digital Technologies,Multidimensional data,"An extension of two-dimensional tables (e.g. tables with rows and columns), such as a data cube, that allows businesses and other organisations to generate answers to problems faster and to identify patterns and trends that would otherwise remain undetected."
Technologies,Digital Technologies,Multimedia,"Digital systems and peripheral devices that present text, graphics, video, animation and sound in an integrated way. Examples include interactive games, media-rich websites, electronic books (ebooks) and/or animated short films."
Technologies,Digital Technologies,Multiple alternatives (branching),Algorithmic expressions that involve making multiple 'yes' or 'no' decisions based on defined conditions and the data provided.
Technologies,Digital Technologies,Natural language interface,"A user interface that enables a user to interact with a computer using natural language, for example using speech or text to query a database."
Technologies,Digital Technologies,Nested control structure,"A control structure placed within other control structures (e.g. an IF, THEN, ELSE block placed within a FOR, NEXT loop)."
Technologies,Digital Technologies,Networked digital systems,Digital systems connected via the internet or Bluetooth devices that allow data to be transmitted. The connection can be established with cables (wired) or without cables (wireless).
Technologies,Digital Technologies,Non-functional requirements,"A set of quality attributes or characteristics that a solution should have (e.g. reliability, robustness, usability, portability and maintainability)."
Technologies,Digital Technologies,Object-oriented programming (OOP) language,"A programming language that supports the object-oriented programming framework. Objects represent a combination of data (the attributes of an object) and the actions that can be performed on or with that data (the methods of the object). Examples of OOP languages are C++, Eiffel, Java, Python and Scala."
Technologies,Digital Technologies,Online repository,"An online collection of documents that can be shared by individuals when collaborating on a task or project. The repository enables documents to be uploaded, viewed and edited by a group working in real time."
Technologies,Digital Technologies,Online safety,"The practice of individuals protecting themselves and others from online harm and risks that might jeopardise their personal information or financial status, lead to unsafe communications or affect their mental health and wellbeing."
Technologies,Digital Technologies,OOP language,*See:* object-oriented programming language
Technologies,Digital Technologies,Open source software,"Software designed to make code publicly available. It is developed collaboratively and with community support to enable users to implement, distribute, modify and redistribute its source code."
Technologies,Digital Technologies,Outlier,"A data point that appears to differ significantly from other data points in a set of data or in a trend. Due to variability or an error, an outlier may be excluded from analysis."
Technologies,Digital Technologies,Packets,"Data that is sent over networks, including the internet. Packets contain a header and a payload to enable the data to be reassembled when transmitted."
Technologies,Digital Technologies,Passphrase,A string of words that is used for authentication purposes to gain access to a digital system. The string needs to be memorable to the user but difficult for others to guess or determine.
Technologies,Digital Technologies,Pattern recognition,A data analysis method that can detect arrangements of characteristics of data (e.g. water consumption across the seasons).
Technologies,Digital Technologies,Performance,"Measurements of the accuracy, speed and efficiency with which digital systems can carry out tasks. For example, a hard disk's performance can be measured by how fast it transfers data."
Technologies,Digital Technologies,Peripheral,"A digital component that can be connected to a digital system but is not essential to the system's function (e.g. a printer, digital camera, keyboard, mouse, monitor, external hardware or speakers)."
Technologies,Digital Technologies,Personal accounts,"Accounts used on different platforms (websites and apps) for school and home use. For example, students can have personal accounts to gain access to music, gaming, sport and school resources."
Technologies,Digital Technologies,Phishing,"The fraudulent practice of sending untargeted emails asking people to reveal sensitive data such as bank details, or encouraging people to open a malicious attachment or download malicious content."
Technologies,Digital Technologies,Pixel (picture element),"The smallest component that makes up a digital image or display such as a monitor. Pixels are used to represent the quality of the resolution of an image. The higher the number of pixels in an image, the better the image quality."
Technologies,Digital Technologies,PNG,*See:* Portable Network Graphics
Technologies,Digital Technologies,Portable Network Graphics (PNG),A file format that uses lossless compression.
Technologies,Digital Technologies,Predictive model,A mathematical process using statistics to analyse data to determine patterns and trends to predict a future outcome.
Technologies,Digital Technologies,Privacy,The ability of an individual or group to control who can use or see information about themselves. Information privacy is related to how personal data and information are handled.
Technologies,Digital Technologies,Project,"The set of activities undertaken by students to address specified content, involving understanding the nature of a problem, need or opportunity; creating, designing and producing a solution to the project task; and documenting the process. Project work has a benefit, purpose and use; a user or audience who can provide feedback on the success of the solution; limitations to work within; and a real-world technologies context influenced by social, ethical and environmental issues."
Technologies,Digital Technologies,Project management,"Detailed proposals for managing projects so they can meet the requirements and constraints. For example, plans usually list and sequence tasks, and indicate the required timelines and resources."
Technologies,Digital Technologies,Project management tool,"Software that supports the planning and tracking of projects. Project management tools provide visualisations of the workflow, timelines and resources involved in completing a project."
Technologies,Digital Technologies,Protocols,"Generally accepted standards or rules that govern relationships between and within information systems, including processing and formatting data. For example, TCP/IP is an industry standard set of protocols that provides network communications and access to the internet."
Technologies,Digital Technologies,Prototype,"A trial model used to test an idea or process and to inform further design development. Its purpose is to see if and how well a design works. It is tested by users, programmers and analysts."
Technologies,Digital Technologies,Pseudocode,"Structured English language statements that describe the steps in an algorithm in a clear, unambiguous way. It can be easily translated into code using a programming language. *See also:* structured English"
Technologies,Digital Technologies,QR code,*See:* quick response code
Technologies,Digital Technologies,Queries,"Requests for data from a database, which can involve accessing one or more tables in a relational database. For example, the following SQL statement will return all rows of the database table 'rainfall' for those months when more than 50 mm of rain fell: SELECT \* FROM rainfall WHERE amount \> 50"
Technologies,Digital Technologies,Quick response (QR) code,"A 2D barcode that forms a matrix of black-and-white pixels, which form patterns that store information. The QR code is scanned by a digital device, which reads the pattern and presents information to the user."
Technologies,Digital Technologies,RAM,*See:* random access memory
Technologies,Digital Technologies,Random access memory (RAM),"Temporary storage on a computer to give quick access to a range of software applications, including games."
